学号	姓名	班级	数学	语文	英语
3140602001	唅勖	计算机1401	75	100	116
3140602002	醉昴	计算机1401	40	52	19
3140602003	吣訉	计算机1401	47	2	29
3140602004	輒鎜	计算机1401	132	33	69
3140602005	堠鄋讨	计算机1401	56	59	25
3140602006	俫潬帪	计算机1401	5	55	146
3140602007	藜髗谝	计算机1401	100	102	123
3140602008	屨熵駮	计算机1401	37	78	114
3140602009	玓薐	计算机1401	12	11	139
3140602010	臐挠悰	计算机1401	79	45	109
3140602011	萹檞破	计算机1401	107	87	75
3140602012	蜒椄梷	计算机1401	7	129	47
3140602013	蕹鈖	计算机1401	89	69	73
3140602014	埬歾飫	计算机1401	41	118	120
3140602015	狦杲	计算机1401	121	116	112
3140602016	饺陬	计算机1401	26	48	96
3140602017	滧咊癘	计算机1401	71	81	28
3140602018	骁謌粵	计算机1401	89	21	113
3140602019	折鍦	计算机1401	111	92	146
3140602020	鯡囤鼺	计算机1401	40	5	124
3140602021	簦催鸡	计算机1401	81	138	61
3140602022	蚕孄庅	计算机1401	149	97	124
3140602023	晭襗	计算机1401	77	106	9
3140602024	篣廎	计算机1401	130	66	16
3140602025	羞翨	计算机1401	58	70	72
3140602026	雩褴	计算机1401	88	106	136
3140602027	埏背	计算机1401	98	118	86
3140602028	涸尳	计算机1401	148	65	86
3140602029	脢闰桥	计算机1401	37	64	138
3140602030	裞梉幝	计算机1401	148	113	115
3140602031	蝆撏镖	计算机1401	123	99	130
3140602032	紸鋱傆	计算机1401	34	100	113
3140602033	禹肤磿	计算机1401	113	128	39
3140602034	猨蠺泿	计算机1401	111	89	62
3140602035	轋昡	计算机1401	70	91	97
3140602036	赙隕	计算机1401	32	128	25
3140602037	皧萯镓	计算机1401	70	129	128
3140602038	麫艐	计算机1401	126	26	98
3140602039	邦厅滙	计算机1401	6	20	6
3140602040	陻畇舘	计算机1401	122	100	54
3140602041	僬颯茕	计算机1401	134	7	44
3140602042	喳禜邼	计算机1401	67	14	149
3140602043	濙稍潲	计算机1401	95	137	83
3140602044	儷陣	计算机1401	83	26	57
3140602045	膢諊辝	计算机1401	146	49	22
3140602046	焘缾鐞	计算机1401	39	56	24
3140602047	留湴册	计算机1401	106	21	75
3140602048	菀讴	计算机1401	75	77	109
3140602049	趉羯焘	计算机1401	55	38	108
3140602050	疜婰噤	软件1402	77	100	57
3140602051	櫊葰霶	软件1402	54	39	55
3140602052	棻珂鬸	软件1402	147	103	14
3140602053	溿美毨	软件1402	77	126	6
3140602054	鷏禩	软件1402	15	42	79
3140602055	曧櫍	软件1402	64	13	145
3140602056	齧矁暡	软件1402	73	17	9
3140602057	爒貴祶	软件1402	137	122	138
3140602058	偲畘	软件1402	142	133	33
3140602059	涿訶栻	软件1402	136	66	19
3140602060	竽钨	软件1402	17	131	115
3140602061	辂儴篆	软件1402	83	16	85
3140602062	軒閶	软件1402	74	38	30
3140602063	荷掦	软件1402	19	121	9
3140602064	嵨绹	软件1402	21	44	14
3140602065	朓睛	软件1402	122	127	18
3140602066	眹龝毎	软件1402	57	21	67
3140602067	黟釠	软件1402	96	112	110
3140602068	憁朴牨	软件1402	26	60	127
3140602069	緾伷豘	软件1402	0	9	2
3140602070	衿舽	软件1402	61	133	131
3140602071	氍確	软件1402	66	108	148
3140602072	脠娦	软件1402	111	63	61
3140602073	侓韸亗	软件1402	131	107	31
3140602074	银馢姎	软件1402	131	66	132
3140602075	月厵砖	软件1402	8	69	82
3140602076	薻飖	软件1402	113	85	117
3140602077	双囇	软件1402	136	115	58
3140602078	嗘軜	软件1402	134	113	71
3140602079	髽垗捽	软件1402	75	41	42
3140602080	琻怔	软件1402	137	55	100
3140602081	宷莩佥	软件1402	83	98	11
3140602082	鏽焇讒	软件1402	131	16	58
3140602083	鞆羒	软件1402	54	79	79
3140602084	页眹	软件1402	39	1	83
3140602085	袢婂谀	软件1402	117	71	150
3140602086	丩楳凳	软件1402	76	37	133
3140602087	殆瓍	软件1402	69	32	89
3140602088	鍽跻	软件1402	150	115	76
3140602089	鬟哥玬	软件1402	83	129	37
3140602090	漞掵	软件1402	63	90	5
3140602091	翣纲陦	软件1402	127	39	0
3140602092	襼皟鹂	软件1402	65	64	106
3140602093	銷暍宪	软件1402	53	82	130
3140602094	玮屠锟	软件1402	20	126	103
3140602095	樈闺	软件1402	64	100	7
3140602096	焔儰	软件1402	79	114	60
3140602097	讚饍靴	软件1402	116	10	8
3140602098	愳殢	软件1402	126	11	15
3140602099	斷唆	软件1402	114	141	4
9	9	9	9	9	9
8	8	8	8	8	8
